ingredient,substitutes
conchiglie,"lumache, fusilli, gemelli, farfalle, radiatori, penne, elbow macaroni, rigatoni, ziti, rotelle, conchiglie, cannelloni"
conchigliette,"ditalini, tubettini, stelle, soup pasta"
conchiglioni,"lumaconi, manicotti, canneroni"
coralli,"orzo, acini di pepe, tubettini, conchigliette, soup pasta"
corn flour,"cornmeal, nonwheat flour"
corn husks,"banana leaves, aluminum foil, hoja santa leaves"
corn pasta,"polenta, kamut pasta, spelt pasta, quinoa pasta, rice noodles"
corn starch,"arrowroot starch, instant clearjel, tapioca starch, potato starch, kudzu powder, flour, water chestnut starch, almond powder"
corn tortilla,"flour tortilla, corn chips"
cornmeal,"polenta, corn flour, corn chips"
cornstarch noodles,bean threads
couscous,rice
cream of rice,"cream of wheat, farina"
cream of wheat,"cream of rice, oatmeal"
creste di galli,"elbow macaroni, gigli, farfalle"
crispy chow mein noodles,"rice vermicelli, spaghetti"
ditali,"tubetti, elbow macaroni, ziti, soup pasta"
ditalini,"tubetti, soup pasta"
dumpling wrappers,"wonton wrappers, egg roll wrappers, pasta sheet"
durum wheat flour,semolina
e-fu noodles,"pancit canton, chinese egg noodles, chinese wheat noodles"
egg barley,spaetzle
egg noodles,"linguine, fettuccine, pasta ribbons"
egg roll wrappers,"pasta sheet, rice paper, phyllo"
egg yolks,egg
elicoidali,"rigatoni, ziti, elbow macaroni, penne"
empanada wrappers,"wonton wrappers, pasta sheet"
fadennudeln,vermicelli
farfalle,"conchiglie, radiatori, fusilli, pasta tubes"
farfalline,soup pasta
farina,"cream of rice, grits"
fedelini,"angel hair pasta, vermicelli, spaghetti, fideos"
fettuccine,"tagliatelle, pappardelle, linguine, bavettine, trennette, perciatelli, fusilli, spaghetti"
fideos,"vermicelli, angel hair pasta, fedelini, soup pasta"
fig leaf,"lotus leaves, grape leaves, corn husks"
filipino noodles,"pancit canton, vermicelli"
fischietti,soup pasta
flour tortilla,"corn tortilla, chapati"
fregola,"couscous, soup pasta"
fusilli,"rotini, spiralini, gemelli, farfalle, radiatori, penne, elbow macaroni, rigatoni, ziti, rotelle, conchiglie, cavatelli"
fusilli col buco,"pericatelli, spaghetti"
garganelli,penne
gari,"cream of wheat, cassava flour"
gelatin,"arrowroot, agar, guar gum, carrageen"
gemelli,"fusilli, strozzapreti, farfalle, radiatori, penne, elbow macaroni, rigatoni, ziti, rotelle, conchglie, rotini, cavatelli"
gigli,"fusilli, rotini, gemelli, farfalle, radiatori, penne, elbow macaroni, rigatoni, ziti, rotelle, conchiglie, cavatelli"
gluten flour,whole wheat flour
gnocchetti,"cavatelli, orecchiette, malloreddus"
gnocchi,"gnocchetti, orecchiette"
gomiti,macaroni
gook soo,"somen, vermicelli"
graham flour,whole wheat flour
gramigna,tubetti
grape leaves,"green cabbage, bell pepper, lettuce, mustard greens, swiss chard"
grattoni,soup pasta
greek egg noodles,"sagnarelli, tagliatelle, chinese egg noodles, fettuccine, egg noodles, maltagliati"
gyoza wrappers,"potsticker wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
harinilla,"masa haring, cornmeal"
harusame,"bean threads, vermicelli, shirataki"
hazelnut flour,"walnut flour, almond flour"
hazelnut meal,hazelnut
hiyamugi,"somen, udon"
hokkien noodles,"chinese egg noodles, spaghetti"
hong kong noodles,chow mein noodles
indonesian noodles,bean threads
instant clearjel,"clearjel, tapioca starch, arrowroot starch, cornn starch"
instant flour,"roux, corn starch"
instant tapioca,"tapioca, tapioca pearls, corn starch, arrowroot starch, flour"
isinglass,"gelatin, carrageen"
japanese noodles,chinese wheat noodles
kadaif,phyllo
kamut flour,"spelt flour, all-purpose flour"
kamut pasta,"spelt pasta, corn pasta, rice pasta"
kishimen,udon
korean buckwheat noodles,"soba, rice sticks"
korean noodles,"korean sweet potato vermicelli, harusame"
korean sweet potato vermicelli,"bean threads, rice vermicelli, harusame"
kreplach wrappers,"wonton wrappers, pasta sheet"
kudzu powder,"arrowroot starch, corn starch"
laganelle,"tagliatelle, lasagne, fettuccine"
laksa noodles,"rice sticks, bean threads, chinese wheat noodles"
lasagne,"polenta, egg roll wrappers, pasta sheet"
lasagnette,"fettuccine, spaghetti, lasagne"
linguine,"trenette, fettuccine, spaghetti, lo mein noodles"
lotus leaves,"banana leaves, parchment paper"
lotus root,"water chestnut, jerusalem artichoke, jicama"
lumache,"Conchiglie, fusilli, gemelli, farfalle, radiatori, penne, macraoni, rigatoni, ziti, rotelle, cavatelli"
lumaconi,"conghiglioni, manicotti, cannelloni"
lumpia wrapper,"lettuce, egg roll wrappers, rice paper, pasta sheet"
elbow macaroni,"farfalle, conchiglie, penne, rigatoni, fusilli, gemelli, rotelle, ziti, perciatelli"
maccheroncelli,perciatelli
mafalde,"lasagnette, tagliatelle, fettuccine"
magliette,"elbow macaroni, ziti, canneroni"
maguey leaves,"banana leaves, avocado leaves"
malaysian noodles,"hokkien noodles, laksa noodles, rice vermicelli, bean threads, chinese wheat noodles, vermicelli"
malfatti,pasta ribbons
malloreddus,"gnocchetti, cavatelli"
maltagliati,"greek egg noodles, fettuccine, chinese egg noodles"
manicotti,"cannelloni, egg roll wrappers, lumache"
manti,"ravioli, pansotti, tortelli"
margherite,"gigli, conchigliette"
masa harina,"masa, harinilla"
matzo ball,"soup pasta, pasta"
medium rice sticks,"wide rice noodles, rice vermicelli, bean threads, somen"
mezzani,macaroni
mi chay,"chinese egg noodles, vermicelli, hokkien noodles"
millet flour,"rice flour, nonwheat flour"
miswa,"angel hair pasta, vermicelli"
mostaccioli,"penne, ziti"
mparrettai,fettuccine
nonwheat flour,"whole wheat flour, all-purpose flour, wheat flour"
nut flour,nut meal
nut meal,nut flour
oat flour,"rolled oats, whole wheat flour, nonwheat flour"
oatmeal,"cream of wheat, cream of rice"
orecchiette,"fusilli, orzo, acini di pepe, tubettini, condhigliette, coralli"
orzo,"risi, rice, soup pasta"
paccheri,"rigatoni, elicoidali, toriglioni"
pancit canton,"e-fu noodles, rice sticks"
pansotti,"ravioli, pansotti"
papaya leaves,lotus leaves
pappardelle,"tagliatelle, fettuccine"
pasta al ceppo,macaroni
pasta ascuitta,pasta
pasta ribbons,egg noodles
pasta rods,chinese wheat noodles
pasta sheet,egg roll wrappers
pastry flour,all purpose flour
patty shell,"barquette, polenta"
peanut powder,peanut
pecan meal,"toasted pecan, walnut meal"
pectin,gelatin
penne,"mostaccioli, ziti, rigatoni, elbow macaroni, elicoidali, ditali, fusilli"
pennette,"ziti, perciatelli"
perciatelli,"spaghetti, linguine, fettuccine"
phyllo,"strudel dough, puff pastry dough"
pillus,"taglierini, angel hair pasta"
pizzoccheri,"fettuccine, tagliatelle, trenette"
plantain flour,gari
poi,banana
polenta,"cornmeal, corn flour"
polenta meal,"cornmeal, hominy grits, millet"
potato flour,"all-purpose flour, wheat flour, rice flour, sorghum flour"
potato starch,"corn starch, arrowroot starch, tapioca starch, matzo"
potsticker wrappers,"sui kow wrappers, dumpling wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
puff pastry dough,phyllo
pulcini,soup pasta
quadrefiore,penne
quadrettini,soup pasta
quinoa flour,quinoa
quinoa pasta,"corn pasta, kamut pasta, spelt pasta, rice pasta, asian rice noodles"
radiatori,"farfalle, conchiglie, rotelle, rotini"
ramen,"lo mein noodles, saimin, soba, rice sticks"
ravioli,"pansotti, agnolotti, cappelletti, tortellini"
ravioli wrappers,"pasta sheet, egg roll wrappers, wonton wrappers, dumpling wrappers"
reginelle,"penne, ziti"
reginette,"pappardelle, tagliatelle"
rice bran,wheat bran
rice flake noodles,wide rice noodles
rice flour,"cake flour, barley flour, pastry flour, spelt flour, potato flour, millet flour"
rice noodles,"asian wheat noodles, pasta, corn pasta"
rice paper,"egg roll wrappers, puff pastry dough"
rice pasta,"asian rice noodles, corn pasta, kamut pasta, spelt pasta, quinoa pasta"
rice starch,"corn starch, arrowroot"
rice sticks,"spaghetti, korean buckwheat noodles, bean threads, laksa noodles, pancit canton, ramen, somen"
rice vermicelli,"thin rice sticks, bean threads, vermicelli"
rigatoni,"penne, elicoidali, paccheri, ziti, elbow macaroni"
risi,"orzo, rice, soup pasta"
river rice noodles,medium rice sticks
rotelle,"farfalle, conchiglie, radiatori, penne"
rotini,"fusilli, rotelle, gemelli, torchio, penne"
roux,"instant flour, corn starch, potato starch, rice starch, lentils, dried beans, rice"
rye flour,"triticale flour, nonwheat flour"
sagnarelli,"farfalle, pappardelle"
sago starch,tapioca pearls
sahlab,corn starch
saimin,"ramen, chuka soba noodles"
sausage casings,cheesecloth
seaweed noodles,"bean threds, vermicelli"
seitan,"textured soy protein, eggplants, tempeh, portobello mushroom, atsu-age, deep-fried tofu"
seme di melone,soup pasta
seme di peperone,soup pasta
semolina,"durum wheat flour, all-purpose flour, kamut flour, spelt flour"
shanghai noodles,"perciatelli, spaghetti"
shirataki,bean threads
silver pin noodles,laksa noodles
soba,"korean buckwheat noodles, udon, whole wheat pasta, linguine, spaghetti"
somen,"hiyamugi, angel hair pasta, vermicelli, rice sticks, soba, ramen, lo mein noodles"
sorghum flour,"rice flour, flour, potato flour"
sorghum starch,corn starch
soup pasta,"angel hair pasta, fedelini, vermicelli"
soy flour,"soya flour, nowheat flour"
soy starch,corn starch
soya flour,"soy flour, nonwheat flour"
spaetzle,egg noodles
spaghetti,"linguine, spaghettini, fettucine, vermicelli, angel hair pasta, spaghetti squash"
spaghettini,"vermicelli, angel hair pasta, spaghetti, rice sticks"
spelt flour,kamut flour
spelt pasta,"kamut pasta, corn pasta, rice pasta, quinoa pasta"
spiralini,"fusilli, rotini, rotelle, gemelli, torchio, penne"
starch thickeners,"roux, instant flour, potato, nut flour"
stelle,"ditalini, tubettini, tripolini, stelle, soup pasta"
stelline,"dialini, orzo, orecchiette"
steivaletti,soup pasta
stortini,"tubetti, ditalini, soup pasta"
stringozzi,ciriole
strozzapreti,"gemelli, penne, casarecce, fusilli"
strudel dough,phyllo
sui kow wrappers,"potsticker wrappers, dumpling wrappers, wonton wrappers, egg roll wrappers, pasta sheet"
sweet rice flour,tapioca starch
tagliatelle,"fettuccine, pappardelle"
tablierini,"spaghetti, vermicelli"
tapioca,instant tapioca
tapioca pearls,"sago starch, instant tapioca, tapioca starch"
tapioca starch,"instant flour, instant tapioca, instant clearjel, sweet rice flour, corn starch, arrowroot starch, potato starch, rice starch"
tapioca sticks,bean threds
tart shell,barquette
teff flour,teff
thai noodles,"rice vermicelli, bean stick, chinese wheat noodles"
thickenthin,corn starch
thin rice sticks,"bean threads, rice noodles, vermicelli"
ti leaves,"corn husks, aluminum foil, banana leaves"
tienstin fen pi,"bean threads, rice sticks"
tofu noodles,tofu
torchio,"gigli, orecchiette, farfalle, conchiglie, radiatori"
tortelli,"pansotti, ravioli"
tortellini,"agnolotti, cappelletti, ravioli"
tortelloni,"ravioli, agnolotti, cappelletti"
tortiglioni,"penne, rigatoni, paccheri, elicoidali, ziti"
trenette,"fettucine, linguine"
trenne,"penne, trenette, ziti"
tripolini,"stelle, ditalini, farfalline, soup pasta"
triticale flour,"rye flour, nonwheat flour"
troffiette,strozzapreti
tubetti,"ditali, canneroni, pennette, soup pasta"
tubettini,"orzo, risi, soup pasta"
tufoli,"cannelloni, manicotti"
udon,"soba, linguine, spaghetti"
unbleached flour,all-purpose flour
varnishkes,"farfalle, egg noodles"
vermicelli,"fedelini, capellini, angel hair pasta, spaghettini, rice sticks"
vermicelloni,"bigoli, spaghetti"
vietnamese noodles,"rice vermicelli, rice sticks, bean threads"
walnut flour,"almond flour, hazelnut flour"
walnut meal,"toasted walnut, pecan meal"
water chestnut flour,"all-purpose flour, wheat flour"
water chestnut starch,corn starch
wheat bran,"oat bran, wheat germ"
wheat flour,"barley flour, buckwheat flour, oat flour, rice flour, corn flour, millet flour, potato flour, soy flour, quinoa flour, wheat germ, rice flour, amaranth flour, spelt flour, kamut flour, matzo meal, potato starch, cocoa, light rye flour, medium rye flour, dark rye flour, triticale flour, barley flour, rice flour, buckwheat flour, rice flour, wheat germ, corn flour, millet flour, oat flour, potato flour, soy flour, soya flour, quinoa flour, kamut flour, water chestnut flour, corn starch, tapioca starch"
wheat germ,"wheat bran, sunflower seeds"
whole wheat flour,"graham flour, all-purpose flour, gluten flour"
whole wheat pasta,soba
wide rice noodles,rice noodles
wonton noodles,"chinese egg noodles, angel hair pasta"
wonton wrappers,"egg roll wrappers, dumpling wrappers, potsticker wrappers, pasta sheet"
yufka,"phyllo, egg roll wrappers"
ziti,"rigatoni, penne, elbow macaroni, mostaccioli, ditali, ditalini, elicoidali"
amaranth,"millet, quinoa, buckwheat groats"
arborio rice,"spanish rice, short-grain rice, pearl barley, medium-grain rice"
baby corn,"corn, barley"
barley,"pearl barley, buckwheat groats, spelt"
barley flakes,rolled oats
barley grits,"buckwheat grits, hominy grits"
basmati rice,"popcorn rice, jasmine rice, long-grain rice, wild pecan rice"
bhutanese red rice,"wehani rice, brown rice"
black barley,pearl barley
black forbidden rice,risotto rice
black quinoa,quinoa
bran,legumes
brown rice,"converted rice, wild pecan rice, white rice"
buckwheat,all-purpose flour
buckwheat grits,"barley grits, hominy grits"
buckwheat groats,"kasha, millet, amaranth, quinoa"
bulgur,"cracked wheat, couscous, quinoa"
converted rice,"brown rice, white rice"
corn,"barley flakes, garden pea"
cracked wheat,bulgur
cream of rice,"cream of wheat, farina"
flour,"sorghum flour, corn starch, arrowroot starch"
glutinous rice,"risotto rice, short-grain rice, medium-grain rice"
grains,"cauliflower, butternut squash, lettuce, zucchini"
grits,"oatmeal, cream of wheat"
hato mugi,pearl barley
himalayan red rice,long-grain rice
hominy,"barley grits, dried beans, buckwheat, potato"
hominy grits,"polenta, buckwheat grits, barley grits"
hulled barley,"pot barley, pearl barley, barley grits, buckwheat groats"
instant oats,quick oats
instant rice,long-grain rice
jasmine rice,"basmati rice, popcorn rice, patna rice, long-grain rice"
kalijira rice,basmati rice
kamut brand berries,wheat berries
kamut brand flakes,"rolled oats, rye flakes, barley flakes"
kamut brand wheat,"spelt, wheat"
kasha,"buckwheat groats, rice"
long-grain rice,medium-grain rice
medium-grain rice,"risotto rice, spanish rice, short-grain rice"
millet,"quinoa, bulgur, couscous"
nixtamal,hominy
oat bran,wheat bran
oat groats,wheat berries
patna rice,"basmati rice, long-grain rice"
pearl barley,"hato mugi, arborio rice, buckwheat groats"
popcorn,white corn
popcorn rice,"basmati rice, long-grain rice"
pot barley,"pearl barley, hulled barley"
psyllium seed husks,oat bran
quick oats,"rolled oats, instant oats"
quick-cooking barley,pearl barley
quinoa,"couscous, rice, bulgur, millet,, buckwheat groats, amaranth"
quinoa flakes,rolled oats
rice,"horchata, couscous, orzo, kasha, quinoa, risi, rice bean, potato"
risotto rice,"spanish rice, short-grain rice, pearl barley, medium-grain rice"
rolled oats,"steel-cut oats, quick oats, instant oats, triticale flakes, rye flakes"
rye,triticale
rye berries,"triticale berries, wheat berries, buckwheat groats"
rye flakes,"rolled oats, triticale flakes"
short-grain rice,"medium-grain rice, long-grain rice"
soft wheat berries,wheat berries
spanish rice,"risotto rice, short-grain rice"
spelt,"all-purpose flour, oat flour"
spelt berries,"kamut brand berries, wheat berries"
spelt flakes,"kamut brand flakes, wheat flakes, rolled oats"
steel-cut oats,"rolled oats, oat groats"
teff,quinoa
thai purple sticky rice,glutinous rice
triticale,"wheat, rye"
triticale berries,"rye berries, cracked wheat"
triticale flakes,"rolled oats, rye flakes, kamut brand flakes"
wehani rice,"brown rice, wild pecan rice, basmati rice"
wheat,"triticale, kamut brand wheat"
wheat berries,"kamut brand berries, spelt berries, soft wheat berries, triticale berries, cracked wheat, bulgur"
wheat flakes,"triticale flakes, rolled oats"
white corn,popcorn
white rice,"converted rice, brown rice"
wild pecan rice,"popcorn rice, wehani rice, basmati rice, brown rice"
wild rice,"wild pecan rice, brown rice"
abura-age,deep-fried tofu
acorn,"hazelnut, chestnut"
almond,"hazelnut, brazil nut, cashew, pistachio nut"
almond butter,"peanut butter, cashew butter"
almond filling,"almond paste, marzipan, hazelnut paste"
almond flour,almond meal
almond meal,"blanched almonds, almond flour"
almond paste,marzipan
blanched almonds,"lotus seeds, almond meal, candlenut, gingko nut, pistachio nut"
anasazi beans,"cranberry bean, pinto bean"
appaloosa bean,"pinto bean, black bean"
atsu-age,"abura-age, deep-fried tofu, pressed tofu"
azuki bean,"black azuki bean, red kidney bean, tolosana bean"
barley miso,"awase miso, red miso"
bayo bean,red bean
bean paste,bean sauce
bean stick,yuba
beechnut,hazelnut
beluga lentil,french green lentils
bitter almond,chinese almond
black azuki bean,azuki bean
black bean,"appaloosa bean, calypso bean, soybean, azuki bean"
black chickpeas,chickpea
black walnut,walnut
black-eyed pea,"fresh black-eyed pea, yellow-eyed pea, pigeon pea, green pea, lentils"
bolita bean,"pinto bean, anasazi beans"
brazil nut,"macadamia nut, paradise nut, almond, pecan"
breadnet seeds,"jackfruit seed, chestnut"
brown bean,dried fava bean
brown lentil,"french green lentils, toor dal, red lentil"
brown rice miso,bean sauce
butternut,walnut
calypso bean,"cannellini bean, black bean"
candied chestnuts,chestnut cream
candlenut,"macadamia nut, brazil nut, cashew, blanched almonds"
cannellini bean,"fresh cannellini bean, great northern bean, navy bean, calypso bean, flageolet bean"
cashew,"peanut, pine nut, almond, pecan, water chestnut"
cashew flour,nut flour
channa dal,"toor dal, yellow pea, chickpea"
chepil,green bean
chestnut,"breadnut seeds, jackfruit seed, chufa, hazelnut, pecan"
chestnut cream,"chestnut puree, hazelnut paste"
chestnut flour,"almond flour, hazelnut flour"
chickpea,"lima bean, black chickpeas"
chili bean,"pinto bean, rattlesnake bean, red kidney bean"
chinese almond,"bitter almond, bitter almond oil, almond"
christmas lima bean,lima bean
chufa,"almond, chestnut"
coco bean,navy bean
cranberry bean,"fresh cranberry bean, tongues of fire bean, cannellini bean, great northern bean, pinto pean, chili bean"
dal,lentils
deep-fried tofu,"abura-age, atsu-age, seitan"
dragon tongue bean,green bean
dried beans,fresh beans
dried fava bean,"fresh fava bean, lima bean, brown bean, chickpea, soybean"
dried peas,fresh peas
edamame,"garden pea, fresh black-eyed pea"
egyptian white broad bean,chickpea
european soldier bean,navy bean
extra-firm tofu,"firm tofu, pressed tofu, atsu-age"
fermented bean curd,red bean curd
firm tofu,"extra-firm tofu, regular tofu, pressed tofu, atsu-age, paneer cheese, chicken, feta"
flageolet bean,great northern bean
french green lentils,"beluga lentil, brown lentil, masoor"
fresh beans,dried beans
fresh black-eyed pea,black-eyed pea
fresh cannellini bean,cannellini bean
fresh cranberry bean,cranberry bean
fresh fava bean,"dried fava bean, fresh lima bean, chickpea"
fresh lima bean,"garden pea, lima bean"
fresh peas,"avocado, dried peas"
garden pea,"edamame, fresh lima bean"
gingko nut,"blanched almonds, pine nut"
great northern bean,"navy bean, cannellini bean, flageolet bean, lima bean"
green bean,"wax bean, italian flat bean, dragon tongue bean, winged bean"
green pea,yellow pea
haricot verts,green bean
hatcho miso,red miso
hazelnut,"beechnut, almond, walnut, pecan, brazil nut, macadamia nut"
hazelnut butter,chocolate-hazelnut spread
hazelnut flour,"walnut flour, almond flour"
hazeulnut meal,skinned and tanned hazulnut
hazelnut paste,chocolate-hazelnut spread
hickory nut,pecan
horse gram lentil,channa dal
italian flat bread,green bean
kidney bean,navy bean
lablab bean,"black-eyed pea, green pea"
lentils,"dal, green pea, black-eyed pea"
lima bean,"fresh lima bean, dried fava bean, soybean"
lingot bean,navy bean
lupini bean,"dried fava bean, lima bean"
macadamia nut,"brazil nut, pecan, walnut, almond, cashew"
maicoba bean,pinto bean
mape,chestnut
marrow bean,navy bean
masoor,brown lentil
masoor dal,"red lentil, toor dal, french green lentils"
miso,"soy sauce, umeboshi puree"
moath,mung bean
moong dal,green pea
mortgage runner bean,"great northern bean, navy bean, cannellini bean"
mung bean,pigeon pea
navy bean,"great northern bean, lima bean, cannellini bean, flageolet bean"
nut butter,"hummus, cream cheese"
nut flour,nut meal
nut meal,nut flour
nuts,"dried fruit, rolled oats, chocolate chips"
okra,tofu
paradise nut,brazil nut
peanut,"cashew, almond"
peanut butter,"chocolate-hazelnut spread, almond butter, sesame paste, hummus"
peanut powder,ground peanuts
pecan,"walnut, hickory nut"
pecan meal,"toasted pecan, walnut meal"
pigeon pea,"yellow-eyed pea, black-eyed pea"
pili nut,almond
pine nut,"walnut, almond, hazelnut, cashew, peanut, sunflower seeds"
pinto bean,"chili bean, rattlesnake bean, red kidney bean, anasazi beans, cranberry bean, azuki bean"
pistachio nut,"pine nut, blanched almonds"
poppy seed filling,sesame paste
praline paste,"chestnut puree, nuts"
pressed tofu,"extra-firm tofu, atsu-age"
rattlesnake bean,"pinto bean, chili bean, red kidney bean"
red bean,"pinto bean, red kidney bean, azuki bean"
red lentil,"masoor dal, toor dal, french green lentils, brown lentil"
red miso,"yellow miso, hatcho miso, vegetable bouillon cubes, beef bouillon cubes"
refried beans,"pinto bean, black bean"
regular tofu,"firm tofu, soft tofu"
rice bean,"rice, lentils"
sator,"green bean, asparagus"
scarlet runner bean,"lima bean, great northern bean"
sesame butter,"sesame paste, peanut butter"
sesame paste,"sesame butter, toasted sesame seed, toasted sesame oil, peanut butter"
silken tofu,"soft tofu, sour cream, mayonnaise, yogurt"
sliced almonds,"slivered almond, almond"
slivered almond,"sliced almonds, almond"
snap bean,"asparagus, broccoli, okra"
snow pea,"sugar snap, asparagus, mung bean sprouts"
soft tofu,"silken tofu, sour cream, mayonnaise, yogurt"
soy cheese,"cheese, nutrional yeast"
soynuts,soybean
steuben yellow bean,"navy bean, great northern bean"
sugar snap,"snow pea, asparagus, carrot"
sunflower butter,sesame paste
swedish brown bean,"cranberry bean, pinto bean"
tempeh,"tofu, ground beef, seitan, textured soy protein"
tepary bean,"navy bean, pinto bean"
textured soy protein,"tempeh, firm tofu, seitan, ground beef"
thailand long bean,yard-long bean
tofu,"tempeh, seitan, textured soy protein, chicken"
tofu sour cream,"soy yogurt, soy mayonnaise"
tofurkey,unturkey
tolosana bean,"red kidney bean, azuki bean"
tongues of fire bean,cranberry bean
toor,"channa dal, yellow pea, pigeon pea"
toor dal,"channa dal, yellow pea, pigeon pea"
unturkey,tofurky
urad dal,"mung bean, azuki bean, pigeon pea"
skinned and split urad dal,split urad dal
split urad dal,skinned and split urad dal
val dal,"black-eyed pea, green pea"
vallarta bean,navy bean
walnut,"butternut, pecan, hazelnut, pine nut"
walnut flour,"almond flour, hazelnut flour"
walnut meal,"toasted walnut, pecan meal"
water caltrop,water chestnut
wax bean,green bean
white miso,"yello miso, vegetable bouillon cubes, red miso"
winged bean,"asparagus, green bean"
yard-long bean,"thailand long bean, green bean"
yellow indian woman bean,pinto bean
yellow miso,"white miso, vegetable bouillon cubes"
yellow pea,"green pea, black-eyed pea, lentils"
yellow-eyed pea,"black-eyed pea, pigeon pea"
yuba,bean stick
absinthe,"herbsaint, pernod, anisette"
acidophilis milk,"almond milk, milk 3.5%"
advocaat,"eggnot, irish cream liqueur"
ale,"brown ale, india pale ale, porter ale, stout"
almond liqueur,"amaretto, almond extract, hazelnut liqueur"
almond milk,rice milk
amaretto,"almond liqueur, almond extract, hazelnut liqueur"
amber rum,"white rum, dark rum, whiskey, cognac"
amer picon,"lillet, dubonnet, byrrh, punt e mes, suze"
angostura bitters,"peychaud's bitters, fernet branca, orange bitters, worcestershire sauce"
anise,anisette
anisette,"anise, anise extract, pernod, ouzo, pastis, sambuca"
apple brandy,pear brandy
apple cider,apple juice
apple juice,apple cider
apricot brandy,"apricot liqueur, cherry brandy, orange liqueur"
apricot liqueur,"apricot brandy, amaretto"
aquavit,vodka
arak,"ouzo, grappa, aquavit"
armagnac,cognac
ascorbic acid,vinegar
b&b,benedictine
baker's caramel,"caramel coloring, kitchen bouqet, browning"
balasamic vinegar,"brown rice vinegar, chinese black vinegar, fruit vinegar, sherry vinegar"
banyuls,"port, black muscat wine, porter ale"
barbera,"chianti, zinfandel"
barley malt syrup,"molasses, brown rice syrup, maple syrup"
bauchant,"grand marnier, cointreau, triple sec"
beaujolais,"gamay, pinot noir, red burgundy wine, chianti, barbera"
beef base,beef broth
beef bouillon cubes,"beef broth, beef stock, veal stock, red miso, beef base"
beef broth,"beef stock, beef base"
beef stock,"beef broth, beef base"
beer,"fruit juices, wine"
benedictine,"b&b, chartreuse, drambuie"
berry wine,fruit liqueurs
bitter liqueurs,bitters
black currant vinegar,"cranberry vinegar, blueberry vinegar"
black muscat wine,"banyuls, port, porter ale"
black tea,coffee
black treacle,"blackstrop molasses, molasses, golden syrup"
blackstrap molasses,black treacle
blended whiskey,"bourbon whiskey, scotch whiskey"
blueberry vinegar,"black currant vinegar, cranberry vinegar"
blush wine,"gewurztraminer, beaujolais, white wine"
bock beer,"brown ale, india pale ale, porter ale, stout"
red bordeaux wine,"cabernet sauvignon, merlot, red burgundy wine"
white bordeaux wine,sauvignon blanc
bourbon whiskey,"blended whiskey, sour-mash whiskey, scotch whiskey, cognac, rum, sherry, bourbon extract"
brandy,"bourbon whiskey, fruit syrup"
breakfast cream,clotted cream
brown ale,bock beer
brown rice syrup,"maple syrup, molasses, barley malt syrup, honey"
brown rice vinegar,"rice vinegar, cider vinegar"
browning,"kitchen bouquet, baker's caramel, caramel coloring, soy sauce"
red burgundy wine,"beaujolais, red bordeaux wine, gamay, gamay beaujolais, rioja"
white burgundy wine,bordeaux wine
buttermilk,molasses
byrrh,"dubonnet, punt e mes, suze"
cabernet franc,"red bordeaux wine, cabernet sauvignon, merlot, zinfandel"
cabernet sauvignon,"red bordeaux wine, merlot, zinfandel"
cachaca,"white rum, tequila, grappa, marc"
calamondin juice,"kalamansi juice, key lime juice"
campari,"fernet branca, punt e mes, suze"
canadian whiskey,"irish whiskey, scotch whiskey, blended whiskey, sherry"
cane vinegar,"white vinegar, white wine vinegar, rice vinegar"
caramel coloring,"kitchen bouquet, browning"
chablis,"pouilly-fuisse, chardonnay, pinot blanc, sauvignon blanc, muscadet, dry vermouth"
champagne,"apple cider, ginger ale"
champagne vinegar,"white wine vinegar, rice vinegar, raspberry vinegar, cider vinegar"
chardonnay,"pinot blanc, chablis, muscadet, dry vermouth"
chartreuse,"strega, izarra, benedictine, drambuie"
chenin blanc,"pinot blanc, chablis, vermouth"
cheri suisse,chocolate liqueurs
cherry brandy,apricot brandy
cherry liqueurs,"port, kirsch, cherry flavoring"
chianti,"zinfandel, beaujolais, syrah"
chicken base,chicken broth
chicken bouillon cubes,"chicken base, chicken broth, chicken stock"
chicken broth,"chicken stock, chicken base"
chicken stock,"chicken broth, vegetable broth, reconstituted chicken base"
chinese black vinegar,"balsamic vinegar, cider vinegar, red wine vinegar, worcestershire sauce"
chocolate liqueurs,"crème de cacauo, vandermint, tiramisu, chocolate syrup, coffee liqueurs, chocolate extract"
cider vinegar,"malt vinegar, white vinegar, wine vinegar"
clabber cream,"buttermilk cheese, ricotta cheese, crème fraiche"
clam juice,fish broth
clotted cream,breakfast cream
coconut butter,grated coconut
coconut cream,"grated coconut, coconut milk, cream"
coconut extract,"coconut cream, coconut milk, coconut syrup"
coconut milk,coconut cream
coconut rum,irish cream liqueur
coconut syrup,cream of coconut
coconut vinegar,"cane vinegar, white wine vinegar, cider vinegar"
coconut water,coconut
coffee,tea
coffee filter,paper towels
coffee grinder,"blender, pepper mill"
coffee liqueurs,"chocolate liqueurs, cognac, rum"
cognac,"armagnac, brandy"
cointreau,"grand marnier, curacao, triple sec, orange juice"
cold duck wine,"champagne, sparkling cider"
cooking wine,table wine
corn syrup,"golden syrup, honey, molasses"
corn whiskey,whiskey
cranberry juice,"grape juice, pineapple juice, pomegranate juice"
cranberry liqueur,raspberry liqueur
cranberry vinegar,raspberry vinegar
cream,"evaporated milk, yogurt"
crema,"sour cream, crème fraiche"
crème d'abricots,apricot lequeur
